17 50 70
6-14 5-14 9
6-14 7-14 2
6-14 6-15 4
6-14 6-13 4
6-15 5-15 8
6-15 7-15 4
6-15 6-16 5
6-15 6-14 5
6-16 5-16 8
6-16 7-16 4
6-16 6-17 6
6-16 6-15 6
6-17 5-17 7
6-17 7-17 2
6-17 6-18 6
6-17 6-16 5
6-18 7-18 2
6-18 6-17 6
7-0 8-0 2
7-0 7-1 6
7-1 6-1 7
7-1 8-1 4
7-1 7-2 5
7-1 7-0 4
7-2 6-2 9
7-2 8-2 3
7-2 7-3 5
7-2 7-1 6
7-3 6-3 7
7-3 8-3 3
7-3 7-4 5
7-3 7-2 4
7-4 6-4 7
7-4 8-4 3
7-4 7-5 4
7-4 7-3 4
7-5 6-5 7
7-5 8-5 4
7-5 7-6 5
7-5 7-4 5
7-6 6-6 8
7-6 8-6 3
7-6 7-7 6
7-6 7-5 6
7-7 6-7 7
7-7 8-7 2
7-7 7-8 4
7-7 7-6 4
7-8 6-8 9
7-8 8-8 4
7-8 7-9 6
7-8 7-7 5
7-9 6-9 7
7-9 8-9 3
7-9 7-10 4
7-9 7-8 6
7-10 6-10 9
7-10 8-10 2
7-10 7-11 4
7-10 7-9 4
7-11 6-11 9
7-11 8-11 4
7-11 7-12 4
7-11 7-10 4
7-12 6-12 8
7-12 8-12 2
7-12 7-13 6
7-12 7-11 5
7-13 6-13 8
7-13 8-13 3
7-13 7-14 6
7-13 7-12 5
7-14 6-14 8
7-14 8-14 4
7-14 7-15 4
7-14 7-13 4
7-15 6-15 8
7-15 8-15 3
7-15 7-16 6
7-15 7-14 5
7-16 6-16 8
7-16 8-16 2
7-16 7-17 6
7-16 7-15 6
7-17 6-17 8
7-17 8-17 4
7-17 7-18 5
7-17 7-16 5
7-18 6-18 9
7-18 8-18 4
7-18 7-19 5
7-18 7-17 5
7-19 8-19 4
7-19 7-18 6
8-0 7-0 9
8-0 9-0 3
8-0 8-1 6
8-1 7-1 9
8-1 9-1 3
8-1 8-2 6
8-1 8-0 4
8-2 7-2 8
8-2 9-2 4
8-2 8-3 4
8-2 8-1 4
8-3 7-3 9
8-3 9-3 3
8-3 8-4 6
8-3 8-2 4
8-4 7-4 7
8-4 9-4 2
8-4 8-5 4
8-4 8-3 5
8-5 7-5 7
8-5 9-5 3
8-5 8-6 4
8-5 8-4 4
8-6 7-6 7
8-6 9-6 2
8-6 8-7 5
8-6 8-5 5
8-7 7-7 9
8-7 9-7 4
8-7 8-8 6
8-7 8-6 4
8-8 7-8 7
8-8 9-8 3
8-8 8-9 4
8-8 8-7 6
8-9 7-9 8
8-9 9-9 3
8-9 8-10 6
8-9 8-8 4
8-10 7-10 8
8-10 9-10 4
8-10 8-11 4
8-10 8-9 4
8-11 7-11 9
8-11 9-11 4
8-11 8-12 4
8-11 8-10 4
8-12 7-12 7
8-12 9-12 2
8-12 8-13 4
8-12 8-11 5
8-13 7-13 7
8-13 9-13 4
8-13 8-14 4
8-13 8-12 5
8-14 7-14 9
8-14 9-14 3
8-14 8-15 6
8-14 8-13 5
8-15 7-15 7
8-15 9-15 4
8-15 8-16 6
8-15 8-14 4
8-16 7-16 7
8-16 9-16 4
8-16 8-17 6
8-16 8-15 6
8-17 7-17 9
8-17 9-17 3
8-17 8-18 6
8-17 8-16 4
8-18 7-18 9
8-18 9-18 3
8-18 8-19 6
8-18 8-17 5
8-19 7-19 8
8-19 9-19 4
8-19 8-18 4
9-0 8-0 7
9-0 10-0 2
9-0 9-1 5
9-1 8-1 9
9-1 10-1 2
9-1 9-2 5
9-1 9-0 4
9-2 8-2 8
9-2 10-2 3
9-2 9-3 6
9-2 9-1 5
9-3 8-3 7
9-3 10-3 4
9-3 9-4 4
9-3 9-2 5
9-4 8-4 9
9-4 10-4 2
9-4 9-5 5
9-4 9-3 6
9-5 8-5 7
9-5 10-5 2
9-5 9-6 5
9-5 9-4 6
9-6 8-6 9
9-6 10-6 3
9-6 9-7 5
9-6 9-5 5
9-7 8-7 7
9-7 10-7 3
9-7 9-8 5
9-7 9-6 4
9-8 8-8 7
9-8 10-8 3
9-8 9-9 5
9-8 9-7 4
9-9 8-9 9
9-9 10-9 3
9-9 9-10 6
9-9 9-8 5
9-10 8-10 9
9-10 10-10 4
9-10 9-11 6
9-10 9-9 4
9-11 8-11 7
9-11 10-11 2
9-11 9-12 4
9-11 9-10 5
9-12 8-12 7
9-12 10-12 2
9-12 9-13 6
9-12 9-11 4
9-13 8-13 9
9-13 10-13 4
9-13 9-14 5
9-13 9-12 6
9-14 8-14 9
9-14 10-14 2
9-14 9-15 6
9-14 9-13 5
9-15 8-15 7
9-15 10-15 4
9-15 9-16 4
9-15 9-14 5
9-16 8-16 9
9-16 10-16 3
9-16 9-17 5
9-16 9-15 4
9-17 8-17 9
9-17 10-17 3
9-17 9-18 6
9-17 9-16 5
9-18 8-18 7
9-18 10-18 3
9-18 9-19 6
9-18 9-17 4
9-19 8-19 8
9-19 10-19 3
9-19 9-18 4
10-0 9-0 9
10-0 11-0 4
10-0 10-1 5
10-1 9-1 7
10-1 11-1 2
10-1 10-2 4
10-1 10-0 5
10-2 9-2 8
10-2 11-2 4
10-2 10-3 4
10-2 10-1 6
10-3 9-3 9
10-3 11-3 3
10-3 10-4 6
10-3 10-2 4
10-4 9-4 8
10-4 11-4 2
10-4 10-5 5
10-4 10-3 4
10-5 9-5 8
10-5 11-5 3
10-5 10-6 4
10-5 10-4 5
10-6 9-6 7
10-6 11-6 3
10-6 10-7 4
10-6 10-5 4
10-7 9-7 8
10-7 11-7 4
10-7 10-8 6
10-7 10-6 5
10-8 9-8 8
10-8 11-8 3
10-8 10-9 6
10-8 10-7 5
10-9 9-9 9
10-9 11-9 2
10-9 10-10 4
10-9 10-8 5
10-10 9-10 7
10-10 11-10 2
10-10 10-11 6
10-10 10-9 6
10-11 9-11 8
10-11 11-11 4
10-11 10-12 6
10-11 10-10 4
10-12 9-12 7
10-12 11-12 2
10-12 10-13 4
10-12 10-11 4
10-13 9-13 9
10-13 11-13 3
10-13 10-14 4
10-13 10-12 4
10-14 9-14 9
10-14 11-14 4
10-14 10-15 6
10-14 10-13 6
10-15 9-15 8
10-15 11-15 3
10-15 10-16 5
10-15 10-14 4
10-16 9-16 7
10-16 11-16 3
10-16 10-17 5
10-16 10-15 6
10-17 9-17 8
10-17 11-17 4
10-17 10-18 6
10-17 10-16 6
10-18 9-18 9
10-18 11-18 4
10-18 10-19 5
10-18 10-17 4
10-19 9-19 9
10-19 11-19 4
10-19 10-18 6
11-0 10-0 8
11-0 12-0 3
11-0 11-1 4
11-1 10-1 9
11-1 12-1 4
11-1 11-2 6
11-1 11-0 5
11-2 10-2 9
11-2 12-2 4
11-2 11-3 4
11-2 11-1 5
11-3 10-3 9
11-3 12-3 3
11-3 11-4 6
11-3 11-2 4
11-4 10-4 9
11-4 12-4 4
11-4 11-5 5
11-4 11-3 6
11-5 10-5 8
11-5 12-5 3
11-5 11-6 5
11-5 11-4 4
11-6 10-6 8
11-6 12-6 3
11-6 11-7 4
11-6 11-5 5
11-7 10-7 9
11-7 12-7 2
11-7 11-8 6
11-7 11-6 5
11-8 10-8 8
11-8 12-8 4
11-8 11-9 5
11-8 11-7 5
11-9 10-9 7
11-9 12-9 3
11-9 11-10 4
11-9 11-8 5
11-10 10-10 9
11-10 12-10 3
11-10 11-11 5
11-10 11-9 6
11-11 10-11 7
11-11 12-11 4
11-11 11-12 5
11-11 11-10 5
11-12 10-12 8
11-12 12-12 2
11-12 11-13 6
11-12 11-11 4
11-13 10-13 9
11-13 12-13 4
11-13 11-14 6
11-13 11-12 6
11-14 10-14 9
11-14 12-14 4
11-14 11-15 5
11-14 11-13 5
11-15 10-15 8
11-15 12-15 3
11-15 11-16 5
11-15 11-14 6
11-16 10-16 8
11-16 12-16 2
11-16 11-17 4
11-16 11-15 6
11-17 10-17 8
11-17 12-17 4
11-17 11-18 4
11-17 11-16 6
11-18 10-18 7
11-18 12-18 3
11-18 11-19 6
11-18 11-17 5
11-19 10-19 9
11-19 12-19 2
11-19 11-18 4
12-0 11-0 9
12-0 13-0 3
12-0 12-1 6
12-1 11-1 7
12-1 13-1 2
12-1 12-2 5
12-1 12-0 6
12-2 11-2 7
12-2 13-2 4
12-2 12-3 5
12-2 12-1 6
12-3 11-3 8
12-3 13-3 4
12-3 12-4 6
12-3 12-2 6
12-4 11-4 8
12-4 13-4 4
12-4 12-5 5
12-4 12-3 6
12-5 11-5 9
12-5 13-5 4
12-5 12-6 5
12-5 12-4 5
12-6 11-6 8
12-6 13-6 2
12-6 12-7 5
12-6 12-5 5
12-7 11-7 9
12-7 13-7 3
12-7 12-8 5
12-7 12-6 6
12-8 11-8 8
12-8 13-8 2
12-8 12-9 6
12-8 12-7 4
12-9 11-9 9
12-9 13-9 2
12-9 12-10 6
12-9 12-8 6
12-10 11-10 8
12-10 13-10 3
12-10 12-11 5
12-10 12-9 4
12-11 11-11 9
12-11 13-11 4
12-11 12-12 6
12-11 12-10 4
12-12 11-12 8
12-12 13-12 3
12-12 12-13 5
12-12 12-11 5
12-13 11-13 9
12-13 13-13 3
12-13 12-14 4
12-13 12-12 6
12-14 11-14 7
12-14 13-14 3
12-14 12-15 4
12-14 12-13 5
12-15 11-15 9
12-15 13-15 2
12-15 12-16 5
12-15 12-14 5
12-16 11-16 9
12-16 13-16 2
12-16 12-17 6
12-16 12-15 4
12-17 11-17 9
12-17 13-17 2
12-17 12-18 6
12-17 12-16 4
12-18 11-18 8
12-18 13-18 4
12-18 12-19 4
12-18 12-17 4
12-19 11-19 8
12-19 13-19 2
12-19 12-18 6
13-0 12-0 7
13-0 14-0 2
13-0 13-1 4
13-1 12-1 7
13-1 14-1 4
13-1 13-2 6
13-1 13-0 5
13-2 12-2 8
13-2 14-2 4
13-2 13-3 6
13-2 13-1 4
13-3 12-3 8
13-3 14-3 2
13-3 13-4 4
13-3 13-2 5
13-4 12-4 8
13-4 14-4 3
13-4 13-5 5
13-4 13-3 4
13-5 12-5 8
13-5 14-5 3
13-5 13-6 4
13-5 13-4 5
13-6 12-6 8
13-6 14-6 2
13-6 13-7 6
13-6 13-5 5
13-7 12-7 9
13-7 14-7 4
13-7 13-8 5
13-7 13-6 6
13-8 12-8 8
13-8 14-8 4
13-8 13-9 4
13-8 13-7 4
13-9 12-9 9
13-9 14-9 3
13-9 13-10 6
13-9 13-8 6
13-10 12-10 8
13-10 14-10 2
13-10 13-11 5
13-10 13-9 4
13-11 12-11 9
13-11 14-11 2
13-11 13-12 6
13-11 13-10 6
13-12 12-12 9
13-12 14-12 2
13-12 13-13 4
13-12 13-11 5
13-13 12-13 8
13-13 14-13 2
13-13 13-14 6
13-13 13-12 5
13-14 12-14 8
13-14 14-14 2
13-14 13-15 6
13-14 13-13 4
13-15 12-15 9
13-15 14-15 3
13-15 13-16 5
13-15 13-14 4
13-16 12-16 8
13-16 14-16 2
13-16 13-17 4
13-16 13-15 6
13-17 12-17 8
13-17 14-17 2
13-17 13-18 4
13-17 13-16 6
13-18 12-18 8
13-18 14-18 2
13-18 13-19 6
13-18 13-17 5
13-19 12-19 8
13-19 14-19 4
13-19 13-18 4
14-0 13-0 9
14-0 15-0 3
14-0 14-1 6
14-1 13-1 9
14-1 15-1 3
14-1 14-2 4
14-1 14-0 5
14-2 13-2 9
14-2 15-2 3
14-2 14-3 6
14-2 14-1 4
14-3 13-3 8
14-3 15-3 3
14-3 14-4 6
14-3 14-2 6
14-4 13-4 7
14-4 15-4 3
14-4 14-5 5
14-4 14-3 6
14-5 13-5 9
14-5 15-5 3
14-5 14-6 4
14-5 14-4 5
14-6 13-6 8
14-6 15-6 2
14-6 14-7 4
14-6 14-5 6
14-7 13-7 8
14-7 15-7 2
14-7 14-8 5
14-7 14-6 4
14-8 13-8 7
14-8 15-8 2
14-8 14-9 4
14-8 14-7 4
14-9 13-9 8
14-9 15-9 4
14-9 14-10 5
14-9 14-8 6
14-10 13-10 8
14-10 15-10 2
14-10 14-11 4
14-10 14-9 5
14-11 13-11 9
14-11 15-11 2
14-11 14-12 4
14-11 14-10 5
14-12 13-12 7
14-12 15-12 2
14-12 14-13 5
14-12 14-11 5
14-13 13-13 7
14-13 15-13 2
14-13 14-14 5
14-13 14-12 6
14-14 13-14 8
14-14 15-14 2
14-14 14-15 4
14-14 14-13 6
14-15 13-15 7
14-15 15-15 3
14-15 14-16 4
14-15 14-14 5
14-16 13-16 7
14-16 15-16 4
14-16 14-17 6
14-16 14-15 5
14-17 13-17 8
14-17 15-17 3
14-17 14-18 6
14-17 14-16 4
14-18 13-18 9
14-18 15-18 2
14-18 14-19 6
14-18 14-17 5
14-19 13-19 8
14-19 15-19 3
14-19 14-18 6
15-0 14-0 8
15-0 16-0 3
15-0 15-1 6
15-1 14-1 7
15-1 16-1 4
15-1 15-2 6
15-1 15-0 6
15-2 14-2 9
15-2 16-2 4
15-2 15-3 4
15-2 15-1 6
15-3 14-3 8
15-3 16-3 3
15-3 15-4 4
15-3 15-2 6
15-4 14-4 8
15-4 16-4 2
15-4 15-5 6
15-4 15-3 6
15-5 14-5 8
15-5 16-5 2
15-5 15-6 4
15-5 15-4 6
15-6 14-6 7
15-6 16-6 4
15-6 15-7 6
15-6 15-5 5
15-7 14-7 7
15-7 16-7 2
15-7 15-8 5
15-7 15-6 6
15-8 14-8 8
15-8 16-8 3
15-8 15-9 4
15-8 15-7 4
15-9 14-9 7
15-9 16-9 2
15-9 15-10 5
15-9 15-8 5
15-10 14-10 9
15-10 16-10 2
15-10 15-11 4
15-10 15-9 5
15-11 14-11 9
15-11 16-11 4
15-11 15-12 5
15-11 15-10 5
15-12 14-12 9
15-12 16-12 2
15-12 15-13 4
15-12 15-11 5
15-13 14-13 7
15-13 16-13 2
15-13 15-14 6
15-13 15-12 6
15-14 14-14 7
15-14 16-14 3
15-14 15-15 5
15-14 15-13 5
15-15 14-15 7
15-15 16-15 2
15-15 15-16 6
15-15 15-14 4
15-16 14-16 7
15-16 16-16 2
15-16 15-17 5
15-16 15-15 6
15-17 14-17 9
15-17 16-17 4
15-17 15-18 4
15-17 15-16 4
15-18 14-18 8
15-18 16-18 4
15-18 15-19 5
15-18 15-17 6
15-19 14-19 8
15-19 16-19 3
15-19 15-18 5
16-0 15-0 7
16-0 17-0 2
16-0 16-1 5
16-1 15-1 9
16-1 17-1 4
16-1 16-2 4
16-1 16-0 6
16-2 15-2 7
16-2 17-2 4
16-2 16-3 5
16-2 16-1 4
16-3 15-3 9
16-3 17-3 4
16-3 16-4 6
16-3 16-2 4
16-4 15-4 8
16-4 17-4 3
16-4 16-5 4
16-4 16-3 5
16-5 15-5 8
16-5 17-5 2
16-5 16-6 4
16-5 16-4 6
16-6 15-6 7
16-6 17-6 3
16-6 16-7 4
16-6 16-5 4
16-7 15-7 8
16-7 17-7 2
16-7 16-8 4
16-7 16-6 4
16-8 15-8 8
16-8 17-8 2
16-8 16-9 4
16-8 16-7 5
16-9 15-9 8
16-9 17-9 4
16-9 16-10 4
16-9 16-8 6
16-10 15-10 7
16-10 17-10 2
16-10 16-11 5
16-10 16-9 5
16-11 15-11 9
16-11 17-11 3
16-11 16-12 5
16-11 16-10 4
16-12 15-12 8
16-12 17-12 4
16-12 16-13 4
16-12 16-11 4
16-13 15-13 8
16-13 17-13 4
16-13 16-14 6
16-13 16-12 6
16-14 15-14 8
16-14 17-14 2
16-14 16-15 5
16-14 16-13 4
16-15 15-15 9
16-15 17-15 2
16-15 16-16 4
16-15 16-14 6
16-16 15-16 8
16-16 17-16 4
16-16 16-17 6
16-16 16-15 4
16-17 15-17 8
16-17 17-17 2
16-17 16-18 4
16-17 16-16 6
16-18 15-18 9
16-18 17-18 4
16-18 16-19 6
16-18 16-17 5
16-19 15-19 9
16-19 17-19 2
16-19 16-18 4
17-0 16-0 7
17-0 18-0 4
17-0 17-1 6
17-1 16-1 8
17-1 18-1 2
17-1 17-2 5
17-1 17-0 4
17-2 16-2 9
17-2 18-2 4
17-2 17-3 5
17-2 17-1 5
17-3 16-3 7
17-3 18-3 2
17-3 17-4 6
17-3 17-2 6
17-4 16-4 9
17-4 18-4 2
17-4 17-5 4
17-4 17-3 4
17-5 16-5 9
17-5 18-5 3
17-5 17-6 4
17-5 17-4 5
17-6 16-6 7
17-6 18-6 4
17-6 17-7 6
17-6 17-5 4
17-7 16-7 7
17-7 18-7 3
17-7 17-8 4
17-7 17-6 6
17-8 16-8 9
17-8 18-8 2
17-8 17-9 5
17-8 17-7 5
17-9 16-9 8
17-9 18-9 3
17-9 17-10 5
17-9 17-8 6
17-10 16-10 8
17-10 18-10 3
17-10 17-11 5
17-10 17-9 5
17-11 16-11 9
17-11 18-11 4
17-11 17-12 6
17-11 17-10 6
17-12 16-12 7
17-12 18-12 4
17-12 17-13 5
17-12 17-11 5
17-13 16-13 8
17-13 18-13 2
17-13 17-14 4
17-13 17-12 6
17-14 16-14 9
17-14 18-14 3
17-14 17-15 5
17-14 17-13 4
17-15 16-15 8
17-15 18-15 3
17-15 17-16 4
17-15 17-14 5
17-16 16-16 8
17-16 18-16 3
17-16 17-17 5
17-16 17-15 4
17-17 16-17 7
17-17 18-17 4
17-17 17-18 6
17-17 17-16 6
17-18 16-18 7
17-18 18-18 3
17-18 17-19 6
17-18 17-17 6
17-19 16-19 7
17-19 18-19 4
17-19 17-18 4
18-0 17-0 9
18-0 19-0 2
18-0 18-1 6
18-1 17-1 7
18-1 19-1 4
18-1 18-2 4
18-1 18-0 4
18-2 17-2 8
18-2 19-2 2
18-2 18-3 4
18-2 18-1 4
18-3 17-3 7
18-3 19-3 3
18-3 18-4 5
18-3 18-2 5
18-4 17-4 9
18-4 19-4 4
18-4 18-5 5
18-4 18-3 6
18-5 17-5 7
18-5 19-5 4
18-5 18-6 4
18-5 18-4 5
18-6 17-6 7
18-6 19-6 2
18-6 18-7 6
18-6 18-5 6
18-7 17-7 8
18-7 19-7 3
18-7 18-8 4
18-7 18-6 6
18-8 17-8 8
18-8 19-8 2
18-8 18-9 4
18-8 18-7 6
18-9 17-9 7
18-9 19-9 4
18-9 18-10 4
18-9 18-8 4
18-10 17-10 8
18-10 19-10 4
18-10 18-11 5
18-10 18-9 6
18-11 17-11 9
18-11 19-11 4
18-11 18-12 5
18-11 18-10 5
18-12 17-12 8
18-12 19-12 3
18-12 18-13 5
18-12 18-11 4
18-13 17-13 8
18-13 19-13 3
18-13 18-14 6
18-13 18-12 4
18-14 17-14 7
18-14 19-14 3
18-14 18-15 4
18-14 18-13 6
18-15 17-15 8
18-15 19-15 2
18-15 18-16 4
18-15 18-14 5
18-16 17-16 7
18-16 19-16 3
18-16 18-17 4
18-16 18-15 4
18-17 17-17 8
18-17 19-17 3
18-17 18-18 5
18-17 18-16 6
18-18 17-18 8
18-18 19-18 3
18-18 18-19 6
18-18 18-17 4
18-19 17-19 8
18-19 19-19 2
18-19 18-18 4
19-0 18-0 9
19-0 19-1 6
19-1 18-1 7
19-1 19-2 4
19-1 19-0 5
19-2 18-2 9
19-2 19-3 6
19-2 19-1 4
19-3 18-3 9
19-3 19-4 6
19-3 19-2 4
19-4 18-4 7
19-4 19-5 6
19-4 19-3 5
19-5 18-5 9
19-5 19-6 5
19-5 19-4 4
19-6 18-6 9
19-6 19-7 4
19-6 19-5 4
19-7 18-7 7
19-7 19-8 6
19-7 19-6 6
19-8 18-8 8
19-8 19-9 4
19-8 19-7 4
19-9 18-9 7
19-9 19-10 4
19-9 19-8 6
19-10 18-10 8
19-10 19-11 6
19-10 19-9 6
19-11 18-11 7
19-11 19-12 6
19-11 19-10 5
19-12 18-12 7
19-12 19-13 4
19-12 19-11 4
19-13 18-13 8
19-13 19-14 4
19-13 19-12 4
19-14 18-14 7
19-14 19-15 5
19-14 19-13 5
19-15 18-15 7
19-15 19-16 4
19-15 19-14 5
19-16 18-16 9
19-16 19-17 5
19-16 19-15 4
19-17 18-17 7
19-17 19-18 5
19-17 19-16 4
19-18 18-18 9
19-18 19-19 6
19-18 19-17 5
19-19 18-19 7
19-19 19-18 6
